datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,AQI
01-01-2018,29.9,14,22.1,29.2,14,21.9,13.8,63.9,0,0,0,12.2,11.2,145,1012,11.6,5.2,0,0,0,0.47,Clear,119
02-01-2018,28.9,16.1,22.4,29.2,16.1,22.5,16,69.3,0,0,0,17.6,10.3,103.4,1012,36.9,5.2,128.1,8.3,7,0.5,Partially cloudy,117
03-01-2018,28.8,17,22.1,28.4,17,22.2,15.8,70.4,0,0,0,26.3,9.1,115.3,1013.9,39.4,4.7,198.7,17.3,8,0.54,Partially cloudy,156
04-01-2018,28.4,15.1,21.5,27.8,15.1,21.5,13.3,62.2,0,0,0,28.8,11.2,107.9,1015.2,2.1,5,205.9,17.8,8,0.57,Clear,169
05-01-2018,27.9,13.1,20.7,27.3,13.1,20.6,12.1,61.5,0,0,0,26.6,11.2,103.4,1014.1,3.7,5.1,221.8,19.3,8,0.61,Clear,148
06-01-2018,28.9,12.9,20.4,27.9,12.9,20.3,11.1,59.5,0,0,0,25.6,11.2,120.6,1013.3,2.2,4.6,217.9,18.8,8,0.64,Clear,146
07-01-2018,28,14,20.9,27.5,14,20.8,12.3,61.5,0,0,0,23.4,11.2,121.1,1014,2.2,4.9,205.1,17.7,8,0.67,Clear,139
08-01-2018,26.9,14.2,20.9,27,14.2,20.9,12.9,62.5,0,0,0,31.7,13,114.8,1015.4,4.1,4.8,219.8,19.1,8,0.71,Clear,142
09-01-2018,26,14.5,20.5,26,14.5,20.5,14.7,71.3,0,0,0,25.2,11.6,104.7,1017.3,20.5,4.3,209.6,18,8,0.75,Partially cloudy,153
10-01-2018,29,15,22,29.4,15,22.1,15.1,67.1,0,0,0,28.8,10.3,104,1017.7,14.6,4.8,214.2,18.5,8,0.77,Clear,155
11-01-2018,30.9,16,23.5,31.5,16,23.7,16.3,65.9,0,0,0,19.4,9.4,104.2,1017,7.8,4.8,212.3,18.4,8,0.81,Clear,152
12-01-2018,31.9,17,24,31.3,17,23.9,15.4,62.4,0,0,0,23.4,9.4,103.6,1016.1,8.7,4.9,221.3,19,8,0.84,Clear,151
13-01-2018,31.4,16,23.3,30.2,16,23,13.3,58,0,0,0,31,11.7,102.1,1015.8,6.7,5.3,224.8,19.6,8,0.87,Clear,148
14-01-2018,31.1,16,23.7,33.8,16,23.8,14.7,59.3,0,0,0,23.4,14.8,112.8,1015.5,1.5,5.2,224.9,19.5,8,0.91,Clear,137
15-01-2018,31.4,17.5,24.4,31.1,17.5,24.4,16.7,65.9,0,0,0,19.1,10.3,121.7,1015.6,17,4.7,186.6,16.2,7,0.94,Clear,143
16-01-2018,31.2,17.9,24.4,32,17.9,24.4,15.8,62.5,0,0,0,26.3,15.7,72.3,1014.3,4.8,4.8,228.2,19.8,8,0.97,Clear,135
17-01-2018,29.9,15.5,22.9,29.8,15.5,22.9,15.4,65.9,0,0,0,27,11.1,118,1014.6,4.9,5.1,230.1,19.8,8,0,Clear,124
18-01-2018,29,15,22.6,28.7,15,22.5,14.2,63.1,0,0,0,31,12,102.4,1015.1,4.5,5,234.2,20.2,8,0.04,Clear,130
19-01-2018,29.9,14.5,22.2,28.5,14.5,21.9,11.5,55.9,0,0,0,25.6,11.2,38.7,1015.7,15.3,5.3,239.7,20.9,8,0.08,Clear,128
20-01-2018,29.4,12,21.1,27.9,12,20.8,10.5,56.1,0,0,0,20.5,12.1,87.3,1015.2,1.1,5.1,242.7,21.1,9,0.11,Clear,134
21-01-2018,28.9,12.5,21.4,28.1,12.5,21.3,13.1,62.3,0,0,0,22,9.9,117.7,1014.2,5.6,4.9,240.9,21,9,0.14,Clear,135
22-01-2018,28.1,14,21.3,27.7,14,21.3,13.7,64.7,0,0,0,24.1,10.3,112.6,1013.2,1.9,4.6,237.6,20.5,8,0.18,Clear,151
23-01-2018,29.9,16,22.7,29.6,16,22.7,15.4,65.9,0,0,0,32,7.6,143.5,1012.5,3.7,4.5,232.7,20.3,8,0.21,Clear,120
24-01-2018,29.6,16.9,22.7,29.3,16.9,22.7,15.6,66.7,0,0,0,27,11.4,308.1,1012.4,15.8,4.4,228.5,19.9,8,0.25,Clear,123
25-01-2018,30,15,22.7,29,15,22.5,13.3,59.5,0,0,0,22.7,9.4,1.9,1012.2,8.8,4.6,236.6,20.5,8,0.25,Clear,143
26-01-2018,30.9,13,21.9,29.4,13,21.5,11.1,55.3,0,0,0,24.5,12.1,114.3,1012.8,3.4,4.9,243.2,21.1,9,0.32,Clear,148
27-01-2018,29.9,13,22.1,29.1,13,22,13.5,61.9,0,0,0,24.8,10.3,117.2,1012.9,4.5,5.2,239.7,20.7,9,0.35,Clear,148
28-01-2018,29.9,16.2,22.8,29.5,16.2,22.8,15.1,64.1,0,0,0,23.8,11.2,116.3,1014,3,4.8,236.8,20.4,8,0.39,Clear,137
29-01-2018,29,15,22.3,28.7,15,22.3,15,66.4,0,0,0,26.3,11.5,105.6,1015.6,6.3,5.1,246.2,21.3,9,0.42,Clear,141
30-01-2018,29.8,11,21.4,29.6,11,21.2,11.4,58,0,0,0,32,16.6,69.4,1016.2,0.4,5.2,251.8,21.9,9,0.46,Clear,143
31-01-2018,31,9.5,21.2,29,9.5,20.6,6.9,47.1,0,0,0,28.8,14.7,80.2,1016.6,0.7,5.4,253.8,22,9,0.5,Clear,126
01-02-2018,31.1,10,21.9,29.2,9.6,21.2,7.2,44.6,0,0,0,35.6,14.9,70.3,1016.1,0.4,5.2,253.9,22,9,0.52,Clear,117
02-02-2018,31,11,22.4,29.1,11,21.8,7.8,44.6,0,0,0,21.6,13,109.9,1014.6,2.2,5.4,255.9,22.1,9,0.56,Clear,115
03-02-2018,31,13.9,22.8,29.9,13.9,22.5,10.5,48.7,0,0,0,28.1,13,130.3,1014.6,0,5.8,253.1,22,9,0.59,Clear,107
04-02-2018,30.9,12,22.5,29.4,12,22.1,9.9,48.4,0,0,0,27,14,125.2,1015.2,0.4,5.8,255.6,22,9,0.62,Clear,103
05-02-2018,29.9,13,22.4,28.6,13,22.1,12.1,56.2,0,0,0,32.8,14.9,121.5,1016.8,28.6,5.6,251.4,21.8,9,0.65,Partially cloudy,122
06-02-2018,30,13,22.3,28.4,13,22,11.8,57.3,0,0,0,35.6,14.8,120.6,1016.9,49.2,5.5,247.3,21.4,9,0.69,Partially cloudy,116
07-02-2018,29,16,22.7,27.8,16,22.4,11.9,55.1,0,0,0,17.6,9.5,115,1015.5,62.6,4.8,131.8,11.3,5,0.75,Partially cloudy,138
08-02-2018,32.9,17.5,24.8,31.8,17.5,24.5,14,54.9,0,0,0,18.7,8.2,168.8,1013.7,50.2,5.2,240.5,20.7,9,0.75,Partially cloudy,104
09-02-2018,31.4,18,24.9,29.9,18,24.5,12.7,50.1,0,0,0,27.7,14.4,294.9,1013.4,58.1,5.3,224.2,19.3,8,0.78,Partially cloudy,105
10-02-2018,30.9,19.5,24.8,32.1,19.5,25.2,16.7,61.4,0,0,0,27.7,10.3,119.3,1015.2,73.9,4.9,158.3,13.8,7,0.82,Partially cloudy,115
11-02-2018,31.8,20,25.2,31,20,25.2,17.4,65.1,0,0,0,38.5,15.5,132.5,1015.6,74.6,5.3,210.3,18.1,8,0.85,Partially cloudy,102
12-02-2018,31,20,24.6,32.3,20,25,18.2,69.6,0,0,0,36.7,14.3,137.7,1017.1,57,4.2,238.9,20.6,9,0.88,Partially cloudy,100
13-02-2018,29.9,19,23.9,29.6,19,23.9,16.3,65.1,0,0,0,29.2,11.2,126.3,1019,39.5,4.7,237.8,20.5,9,0.91,Partially cloudy,99
14-02-2018,29.3,19,23.6,35.1,19,23.8,17,69.9,0,0,0,32,13.1,122.1,1019.7,37.4,4.7,254.1,22,9,0.95,Partially cloudy,97
15-02-2018,30.9,17,24.1,31,17,24.1,15.6,62,0,0,0,29.9,14.8,104.9,1019.8,29.2,5.3,252.6,21.7,9,0.98,Partially cloudy,115
16-02-2018,31.8,16.5,24.8,30.3,16.5,24.4,14.2,57,0,0,0,25.2,13,80.6,1018.5,37.1,5.6,253.1,21.8,9,0,Partially cloudy,105
17-02-2018,32.9,14,24.6,31.3,14,24.1,12.2,50.9,0,0,0,23.8,11.5,83.4,1014.7,17.9,5.8,268.6,23,9,0.05,Clear,108
18-02-2018,32.9,15,24.7,32.2,15,24.6,14.7,57.7,0,0,0,22.3,13.2,119.2,1013.1,6.7,5.6,268.6,23,9,0.08,Clear,118
19-02-2018,32.6,17,25.6,31.8,17,25.4,15.7,58.7,0,0,0,27,13,123.2,1013.5,17.7,5.4,238.3,20.3,9,0.12,Clear,104
20-02-2018,32.9,17.5,26,32.3,17.5,26,16.3,59.4,0,0,0,24.5,13.9,119.8,1013.8,22.2,5.2,212.3,18.4,9,0.16,Partially cloudy,93
21-02-2018,32.1,18.1,25.5,40.8,18.1,25.8,16.2,59.5,0,0,0,26.3,11.9,126.8,1012.7,8.8,5.8,222.4,19.4,9,0.19,Clear,108
22-02-2018,32.7,19.1,26.1,32,19.1,25.9,15.4,55.3,0,0,0,23,13.5,138.2,1012.3,28.6,5.4,201.5,17.2,8,0.23,Partially cloudy,115
23-02-2018,33,18,25.9,32,18,25.6,14.7,54.5,0,0,0,29.9,12.1,128.7,1013.1,10.2,5.5,271,23.4,9,0.25,Clear,134
24-02-2018,31.9,16.5,25.1,32.4,16.5,24.8,13.6,53.3,0,0,0,38.2,15.7,119.9,1015.2,0,6,275.2,23.8,9,0.3,Clear,102
25-02-2018,32,17,24.5,30.6,17,24,12.9,54.2,0,0,0,36.4,15.1,113.5,1016,0.7,5.6,281,24.2,10,0.33,Clear,102
26-02-2018,33.9,13,24.5,32,13,23.8,11.4,50.4,0,0,0,29.5,14.9,126.6,1014.4,1.1,5.4,280.3,24.3,10,0.37,Clear,122
27-02-2018,34.2,18,26.2,32.4,18,25.5,11.3,43.4,0,0,0,35.6,18.4,117.8,1013.7,0,5.4,277.1,24,9,0.4,Clear,129
28-02-2018,34.9,19,26.9,33.5,19,26.3,12.7,45.8,0,0,0,24.5,9.5,119.2,1013.5,1.1,5.2,281,24.1,10,0.44,Clear,127
01-03-2018,34.9,17.5,27.1,33,17.5,26.3,11.7,42.2,0,0,0,20.2,11.5,135.7,1012.7,1.1,5.8,283.5,24.4,10,0.47,Clear,121
02-03-2018,35.3,17.5,27,33.7,17.5,26.4,12,43.7,0,0,0,22,14.8,132.6,1012.3,0,5.9,282.9,24.3,10,0.5,Clear,116
03-03-2018,36.8,20.1,27.9,35.1,20.1,27.2,12,41.2,0,0,0,30.2,12.4,222.7,1011.3,0,6,282.1,24.3,10,0.54,Clear,109
04-03-2018,37,20.4,28.4,35.5,20.4,27.9,12.8,41.8,0,0,0,31.7,13,176.7,1010.8,0,5.9,272.8,23.5,10,0.57,Clear,118
05-03-2018,37.8,17,28.2,38.4,17,27.5,11.5,39.4,0,0,0,32,11.3,153.4,1012,0,6,285.3,24.8,10,0.6,Clear,105
06-03-2018,36,20.5,28,34.3,20.5,27.3,12,40.7,0,0,0,23.8,12.6,140.6,1012.6,0.4,5.9,287.8,24.9,10,0.64,Clear,101
07-03-2018,36.1,17.5,27.8,36.5,17.5,27.3,12.7,44.3,0,0,0,37.4,14.6,134.4,1012.8,1.7,5.9,281.4,24.3,10,0.67,Clear,101
08-03-2018,36,17,27.6,33.7,17,26.7,11.2,42.4,0,0,0,29.5,11.2,131.1,1012.9,0,5.9,289.7,25.1,10,0.7,Clear,107
09-03-2018,36.9,19.5,27.9,35.1,19.5,27.3,13.5,45.9,0,0,0,26.6,11.2,133,1013.3,0,5.7,288.9,25.1,10,0.75,Clear,117
10-03-2018,36.9,19,27.9,36.8,19,28.2,17.2,55.9,0,0,0,23.8,14.3,128.6,1013,11.8,5.1,265.7,22.9,9,0.77,Clear,118
11-03-2018,35.9,23,28.6,34.6,23,28.3,16,50.5,0,0,0,24.8,11.2,126.9,1013.9,31,4.9,242.3,21,9,0.8,Partially cloudy,117
12-03-2018,35.9,22,28.2,34.4,22,28,16.5,53.9,0,0,0,29.2,11.2,125.7,1014.1,43.3,5.3,275.1,23.7,10,0.83,Partially cloudy,92
13-03-2018,36.9,20,28.5,36.3,20,28.2,14.5,46.6,0,0,0,23.4,11.5,123.9,1013.6,10.9,5.7,289.4,25,10,0.86,Clear,80
14-03-2018,37.1,20,29.3,35.4,20,28.9,15,48.6,0,0,0,29.9,9.5,137.7,1012,17.2,5.7,286.7,24.8,9,0.89,Clear,100
15-03-2018,35.9,26,30.3,35.9,26,30.5,17,46.8,0,0,0,33.1,12.6,207.6,1011.6,78.3,5.3,181,15.6,7,0.93,Partially cloudy,92
16-03-2018,28.9,22.1,26,30.9,22.1,26.6,19.6,68.8,0.1,100,4.17,34.2,20.5,58,1012.1,88.8,4.5,141.1,12.3,7,0.96,"Rain, Partially cloudy",122
17-03-2018,31.2,20.9,25.5,44.3,20.9,26.6,20.6,76.4,2,100,16.67,26.6,14.8,98,1012.9,62,4.7,185.3,16,7,0,"Rain, Partially cloudy",102
18-03-2018,32.9,22,27.2,34.6,22,28,19.7,66.7,0,0,0,29.5,14.3,117.3,1013.2,29.7,4.9,274.7,23.8,9,0.03,Partially cloudy,74
19-03-2018,35,18.5,27.9,35,18.5,28,16.7,55.4,0,0,0,28.4,11.2,130.3,1014.1,43.4,5.3,281.3,24.2,10,0.06,Partially cloudy,87
20-03-2018,36.9,22.5,29.3,36.9,22.5,29.5,17.1,51.9,0,0,0,26.3,9.4,182.7,1012.7,40.5,5.8,253.7,21.9,10,0.1,Partially cloudy,101
21-03-2018,37,24,30.5,37.9,24,31.1,17.8,49.4,0.5,100,4.17,35.3,11,222.8,1011.3,50.9,5.4,232.4,20,8,0.13,"Rain, Partially cloudy",107
22-03-2018,37.8,22,29.6,43.3,22,29.6,16.3,50.1,0,0,0,38.2,58.6,1.2,1010,42.3,5.8,283.3,24.5,10,0.17,Partially cloudy,132
23-03-2018,37.2,19.5,29.6,36.6,19.5,28.9,12.9,40,0,0,0,26.3,9.5,347.5,1010.4,26.4,5.7,299.1,25.8,10,0.2,Partially cloudy,127
24-03-2018,38.8,19,30,37.4,19,29.5,13.5,40.9,0,0,0,21.2,10.3,98.5,1011.9,13.5,5.8,292.3,25.3,10,0.25,Clear,132
25-03-2018,35,23,29.1,37.4,23,30.6,18.6,54.3,0,0,0,30.6,13.1,114.6,1014.2,0.7,5,297.4,25.7,10,0.28,Clear,139
26-03-2018,36.9,21.5,29.4,38.9,21.5,30.5,19.6,59.7,0,0,0,24.1,12.2,126.2,1014.4,10.8,5.2,295.1,25.4,10,0.31,Clear,119
27-03-2018,37.9,21,30.2,37.4,21,30,16.6,50.5,0,0,0,23.8,9.5,153.6,1012.2,20.2,5.3,299,25.8,10,0.35,Partially cloudy,118
28-03-2018,39.9,22,31.2,39.5,22,31.3,16.4,45.9,0,0,0,36,19.2,183.2,1010.7,26.3,5.9,293,25.1,10,0.38,Partially cloudy,118
29-03-2018,39,21,31.2,40.6,21,32.9,19.2,52.4,0,0,0,29.2,9.6,144.2,1010,26.1,5.6,284.7,24.5,9,0.42,Partially cloudy,124
30-03-2018,39.9,24.5,32,41.1,24.5,33.4,19,52.6,0,0,0,29.9,12.1,150.8,1009.3,42.7,5.6,270.5,23.4,9,0.46,Partially cloudy,115
31-03-2018,37.9,22.5,30.1,43.6,22.5,32.2,20.7,59.4,0.1,100,4.17,26.6,12.1,156.7,1009.2,50.6,5.6,255.6,22.1,9,0.5,"Rain, Partially cloudy",108
01-04-2018,37.8,23,28,43,23,29.2,21.8,72.2,13,100,4.17,35.6,15.3,140,1009.9,54.7,4.7,262.4,22.7,9,0.52,"Rain, Partially cloudy",94
02-04-2018,34.8,22,27.7,39.3,22,29.5,20.7,67.5,13,100,4.17,35.3,14.7,128.6,1011.7,45.9,4.8,279.2,23.9,10,0.56,"Rain, Partially cloudy",72
03-04-2018,36.5,23,29.4,43.2,23,31.2,20.6,61.8,0,0,0,30.6,14.4,144.7,1010.5,33.6,5.4,272.2,23.7,9,0.59,Partially cloudy,97
04-04-2018,37,23.5,29.5,38.6,23.5,30.5,20.2,61.7,0,0,0,29.5,11.6,180.9,1009.3,32.5,5.4,274.8,23.7,9,0.62,Partially cloudy,93
05-04-2018,36.9,24,29,40.1,24,30.3,20.4,62.2,0,0,0,32.8,16.6,163.7,1008.9,50.2,4.9,277.4,24.1,9,0.65,Partially cloudy,86
06-04-2018,36.8,20,28.8,39.1,20,29.9,19.3,60,23,100,4.17,50,28,229.5,1010,64.9,5.2,253.1,21.8,9,0.68,"Rain, Partially cloudy",97
07-04-2018,35.9,22,28.4,35.5,22,28.9,17.9,55.9,0.3,100,4.17,36.7,17.1,23.1,1010.9,69.6,4.8,221.8,19.1,9,0.72,"Rain, Partially cloudy",77
08-04-2018,33,20,25.4,33.5,20,25.6,18.8,69.7,10.6,100,12.5,27,28.8,132.4,1013,56,4.8,273.5,23.7,9,0.75,"Rain, Partially cloudy",73
09-04-2018,34.8,21.7,27.7,38.3,21.7,28.9,20.4,67.1,0,0,0,26.3,10.1,153.1,1012.6,36.6,5.1,281.6,24.4,10,0.78,Partially cloudy,101
10-04-2018,33.9,22,28.2,36.5,22,29.3,19.6,61.7,0,0,0,29.9,11.1,119.5,1011.4,29.1,5.4,266.2,23.1,10,0.81,Partially cloudy,84
11-04-2018,36,23.1,28.8,41.9,23.1,29.9,19.9,61,0.5,100,4.17,26.3,18.4,132.7,1011.1,47.7,5.4,283.3,24.5,9,0.85,"Rain, Partially cloudy",70
12-04-2018,36.8,22.5,29.9,39.7,22.5,31.3,19.5,55.9,0,0,0,22,11.2,150.4,1010.1,45.7,5.6,276.7,23.8,10,0.88,Partially cloudy,72
13-04-2018,37.5,23.5,30.7,39.1,23.5,32.2,20,55.9,0.2,100,4.17,24.5,13,132.5,1010.5,26.2,5.7,269.7,23.5,9,0.91,"Rain, Partially cloudy",66
